Indicator,Dimension1_Type,Dimension1,Dimension2_Type,Dimension2,Value,Unit,Notes
Report title,Metadata,-,,,Labor Market Situation in Morocco - Information Note,text,
Reference period,Metadata,-,,,Q1 2026,text,
Source,Metadata,-,,,"New Labour Force Survey (ENE 2026), Haut-Commissariat au Plan (HCP)",text,
Annual sample size (new survey),Metadata,-,,,135000,households,
Annual sample size (previous survey),Metadata,-,,,90000,households,
Working-age population (15+),National,Total,,,27775000,persons,
Labor force,National,Total,,,11617000,persons,
Labor force participation rate,National,Total,,,41.8,%,
Unemployed (narrow definition),National,Total,,,1253000,persons,
Unemployment rate (narrow definition),National,Total,,,10.8,%,
Population outside the labor force,National,Total,,,16158000,persons,
Share of population outside the labor force (of working-age population),National,Total,,,58.2,%,
Potential labor force,National,Total,,,884000,persons,
Potential labor force share (of population outside the labor force),National,Total,,,5.5,%,
Employed for income,National,Total,,,10364000,persons,
Employment rate (paid work),National,Total,,,37.3,%,
Time-related underemployment (persons),National,Total,,,671000,persons,
Time-related underemployment share (of employed for income),National,Total,,,6.5,%,
Feminization rate of the labor force,National,Total,,,21.0,%,
Composite rate SU2 (unemployment + time-related underemployment),National,Total,,,16.6,%,
Composite rate SU3 (unemployment + potential labor force),National,Total,,,17.1,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),National,Total,,,22.5,%,
Working-age population (thousand),Residence,Urban,Breakdown,Overall,18022,thousand persons,
Working-age population (thousand),Residence,Rural,Breakdown,Overall,9753,thousand persons,
Working-age population (thousand),Residence,National,Breakdown,Overall,27775,thousand persons,
Labor force (thousand),Residence,Urban,Breakdown,Overall,7394,thousand persons,
Labor force (thousand),Residence,Rural,Breakdown,Overall,4224,thousand persons,
Labor force (thousand),Residence,National,Breakdown,Overall,11617,thousand persons,
Feminization rate,Residence,Urban,Breakdown,Overall,23.1,%,
Feminization rate,Residence,Rural,Breakdown,Overall,17.3,%,
Feminization rate,Residence,National,Breakdown,Overall,21.0,%,
Employed for income (thousand),Residence,Urban,Breakdown,Overall,6397,thousand persons,
Employed for income (thousand),Residence,Rural,Breakdown,Overall,3967,thousand persons,
Employed for income (thousand),Residence,National,Breakdown,Overall,10364,thousand persons,
"Unemployed, narrow definition (thousand)",Residence,Urban,Breakdown,Overall,997,thousand persons,
"Unemployed, narrow definition (thousand)",Residence,Rural,Breakdown,Overall,256,thousand persons,
