Rice_ID,Region,Rice_Type,Price_per_kg,Demand_Tons,Supply_Tons,Rainfall_mm,Temperature_C,Import_Export,Date
524,West,Jasmine,54.78089997,500.4093008,492.2489899,167.3060043,34.13124711,import,07-06-2024
603,South,basmati,38.88586988,452.7148578,582.3114964,281.4469113,38.49145196,import,25-08-2024
527,East,,58.28454516,525.2060343,163.0922785,176.958383,27.33913772,import,
32,North,Brown,49.74610954,431.6040498,729.6919085,225.3438728,15.85275594,,01-02-2023
617,West,Jasmine,40.23624729,536.1442037,411.3367116,185.7620686,31.04957767,import,08-09-2024
586,West,Brown,46.95776119,641.2834057,579.3679292,161.3281254,26.77662024,Export,08-08-2024
445,south ,,38.08709861,508.7578219,611.4192494,181.352974,33.43314096,import,20-03-2024
733,South,White,263.5487269,1519.47866,523.3698629,167.3893255,32.25544106,Export,02-01-2025
77,south ,,39.68423753,414.5327055,463.8238954,210.8708288,33.93661253,Import,18-03-2023
412,NORTH,Basmati,48.25686295,484.8444545,541.3035587,221.9250885,31.77512809,import,16-02-2024
569,North,basmati,59.47825803,511.2104947,164.7521572,248.6308821,27.89865697,Import,22-07-2024
71,West,Basmati,48.02046873,345.9206958,342.3213639,284.2289873,29.1340808,Import,12-03-2023
676,,,216.1029845,593.3232448,489.0911212,134.2057129,30.86900582,Export,06-11-2024
102,,Basmati,51.79274604,396.7130771,444.9293741,172.9948453,21.93292074,EXPORT,12-04-2023
895,North,basmati,62.26405144,540.1560608,346.8056596,202.3614046,22.71706013,import,13-06-2025
926,East,,61.71245789,388.9996428,380.0753738,230.6933173,38.83751198,Export,14-07-2025
630,,Basmati,39.73359265,594.0696144,292.4292602,206.8335936,24.38631687,Import,21-09-2024
300,West,basmati,48.02464774,470.9424897,619.2838804,188.1144479,37.28164236,,27-10-2023
925,south ,basmati,31.64342367,440.0633506,569.2682012,229.2065742,32.44047691,import,13-07-2025
425,East,Brown,61.68217722,652.0339237,599.5046372,256.1101784,17.87924691,Export,29-02-2024
97,West,Basmati,48.94608075,533.5238687,460.1366218,152.9769855,31.16243309,,07-04-2023
901,East,basmati,53.81538563,463.9352088,415.65934,168.1747319,20.65598471,Export,19-06-2025
261,South,Basmati,61.49419728,562.8625233,554.2356144,183.0381516,35.00064668,Export,18-09-2023
351,south ,basmati,46.15158118,341.153546,569.4036675,143.1410612,26.56531791,Import,17-12-2023
529,,Jasmine,62.87982474,674.9224203,493.2467567,200.1940308,32.06490283,EXPORT,12-06-2024
695,East,basmati,53.62570815,357.7993475,746.4820556,191.9454811,28.40254965,Export,25-11-2024
362,South,White,63.13068516,492.5789021,490.234108,154.1929242,29.15090157,Import,28-12-2023
612,East,Basmati,39.02137642,595.8476528,527.0004739,242.9344256,29.81989482,EXPORT,03-09-2024
885,,White,42.91711537,538.0381448,621.9988573,190.0757771,21.17775914,Export,03-06-2025
,West,basmati,52.65056045,429.2706619,490.932104,137.0987652,36.9274317,import,21-12-2024
487,East,basmati,55.79442573,535.9183049,648.0479754,175.4131076,14.64424506,EXPORT,01-05-2024
694,NORTH,White,52.00651804,494.7171995,627.5729069,331.9087628,32.90936978,Import,24-11-2024
930,NORTH,,64.82022494,588.673236,467.7935969,160.0539672,24.92185873,Export,18-07-2025
810,North,Jasmine,58.99135714,530.8450108,603.5859047,148.5416545,33.77449583,Import,20-03-2025
409,West,Basmati,58.7864351,621.7748486,719.139915,220.1718431,35.68235254,,13-02-2024
741,,basmati,49.0883088,663.3948184,599.5829561,175.8006442,27.11699112,EXPORT,10-01-2025
214,,Brown,61.26117026,476.3231397,553.2027804,275.4123702,24.11664085,,02-08-2023
590,NORTH,Jasmine,53.48644344,605.5218851,406.5693454,242.5738619,36.50470757,Export,12-08-2024
366,NORTH,,51.97578922,567.6598017,327.5509507,170.5454889,26.26575871,Export,01-01-2024
200,NORTH,basmati,33.56259284,434.9983331,565.7182723,265.9817831,32.13051565,Import,19-07-2023
637,NORTH,,58.8460679,470.5220716,537.5615687,268.2040969,34.20178412,Import,28-09-2024
629,East,Jasmine,32.37167516,472.4297807,393.7191999,236.2764187,27.61073802,,20-09-2024
829,East,White,58.85803138,588.1183343,373.0539662,194.9337542,28.04681735,Export,08-04-2025
353,south ,Basmati,45.61412794,597.039339,424.8541271,276.6466685,28.07481599,import,19-12-2023
330,North,Jasmine,62.2705006,425.0968529,405.7112716,167.1106305,34.84051332,EXPORT,26-11-2023
982,West,Basmati,73.3416358,548.4878682,503.5876257,244.1056886,34.22919812,Import,08-09-2025
,,Basmati,50.30161573,501.8041649,488.2364458,173.9702911,31.36764386,EXPORT,17-04-2025
245,south ,Brown,68.46626501,554.8708268,559.6137275,166.2093014,34.95875173,import,02-09-2023
287,south ,Brown,54.14541814,428.9918881,503.55653,162.0246669,26.32463508,EXPORT,14-10-2023
290,North,White,30.86893575,503.2575577,451.2591157,201.6165116,25.65283626,EXPORT,17-10-2023
599,,,46.3116977,466.4269005,487.7000551,,23.32121669,EXPORT,21-08-2024
762,south ,White,38.78619362,483.9628999,434.1681274,248.9035934,29.6251037,,31-01-2025
60,West,Basmati,45.55016679,508.2512699,323.8387768,169.5049619,30.27631298,Import,01-03-2023
623,NORTH,Basmati,46.96169152,533.3727864,293.2835968,201.4039387,27.76526136,import,14-09-2024
319,,basmati,40.85040932,404.7821193,482.9829005,133.9537347,32.30615247,,15-11-2023
11,,White,57.07715541,771.5946572,334.9158724,181.6464797,37.64464497,EXPORT,11-01-2023
238,West,White,57.73083189,533.1843863,385.8611228,209.126464,35.45483337,EXPORT,26-08-2023
332,North,,52.25342754,582.0555419,512.9690283,234.1630195,21.94415268,import,28-11-2023
706,West,Basmati,45.72244313,575.954647,428.8477732,187.6143079,35.06112212,Export,06-12-2024
87,West,Brown,44.97744284,584.3372622,528.3960468,151.8208278,17.64220046,import,28-03-2023
804,NORTH,Jasmine,47.03732556,507.4776268,284.928076,136.7616358,32.61255035,Import,14-03-2025
175,NORTH,,51.9756599,512.0756806,357.6592557,205.9799339,30.37708871,import,24-06-2023
313,North,Brown,47.39501438,626.5629536,664.2178464,121.327512,25.92248649,Import,09-11-2023
463,East,Brown,42.18287479,413.5434273,328.2376282,161.9285123,30.31129928,Import,07-04-2024
219,North,White,64.4538469,391.0919884,,133.5407433,29.80381763,EXPORT,07-08-2023
31,West,Brown,47.2310116,410.5650087,530.8010338,173.9046625,26.3652552,import,31-01-2023
548,,Jasmine,64.5719576,600.5535226,609.3482087,185.2847495,,import,01-07-2024
665,West,Brown,42.89239896,535.6002629,482.6644721,188.0203838,34.28498122,EXPORT,26-10-2024
55,North,Basmati,51.95410285,453.6731044,471.8066853,195.001511,25.6127263,EXPORT,24-02-2023
24,West,Basmati,46.83902132,475.858559,540.7640373,275.4023796,28.03909219,Export,24-01-2023
257,,basmati,47.16058189,499.3648443,590.1561205,242.3473251,27.0704702,import,14-09-2023
451,South,Jasmine,,649.8582572,467.8346092,130.5200418,24.60890915,import,26-03-2024
4,,basmati,47.70597397,604.5896715,253.8256369,244.0142539,35.9966839,,04-01-2023
834,,Jasmine,67.49581305,528.2187407,490.2094838,272.7328239,33.00628981,,13-04-2025
553,NORTH,Basmati,51.8111651,606.4876739,520.7668631,207.5435936,32.55889489,,06-07-2024
639,South,,38.89600483,392.2128189,557.9396838,190.1504676,25.80230381,Export,30-09-2024
478,East,,55.93429173,456.0994049,548.8424436,121.0662399,26.62792843,Import,22-04-2024
957,East,,49.06565929,429.7271984,515.6500142,219.0476418,17.18023016,EXPORT,14-08-2025
663,NORTH,Basmati,,2060.348085,543.7315923,141.4391913,30.91899686,EXPORT,24-10-2024
,East,Jasmine,68.11375029,553.8324022,518.2992348,203.9451416,29.93886207,,02-06-2024
961,North,Jasmine,34.60333481,569.5020695,466.0187546,159.403917,30.50516744,,18-08-2025
954,South,basmati,46.38188661,483.3778515,634.9962272,218.8941634,26.62560752,import,11-08-2025
980,,Brown,38.91835469,529.8391847,583.7092338,218.2239864,25.51372536,,06-09-2025
576,south ,basmati,48.64757104,347.2780078,317.0145998,239.7150566,18.72694561,Export,29-07-2024
540,,basmati,38.93691819,388.2925858,322.5381027,197.7627208,29.41563436,Export,23-06-2024
216,North,Basmati,49.80064605,316.4288726,308.6221805,175.6163013,34.9497452,,04-08-2023
738,East,,30.44723574,702.0049107,502.475466,213.5418258,32.54328902,import,07-01-2025
999,West,White,48.75382204,389.5588722,339.8958942,185.4700761,36.19968404,Export,25-09-2025
714,NORTH,Jasmine,38.36810539,506.6915724,696.7819453,220.0345919,31.21066578,Import,14-12-2024
668,North,basmati,50.57013136,644.1716761,266.4684661,170.6663613,24.75874418,,29-10-2024
40,,basmati,54.78872164,618.2453827,443.803934,190.2661669,35.70431608,import,09-02-2023
232,North,White,40.15727625,491.6966397,506.8497983,331.8847444,27.23152423,Export,20-08-2023
495,South,Jasmine,53.04126171,540.7876782,417.9380299,254.7335818,,import,09-05-2024
705,,,58.33807339,571.2628484,578.0241563,160.0185088,35.36098358,,
968,North,Brown,unknown,401.9012802,581.7518608,242.8294221,,EXPORT,25-08-2025
67,South,basmati,44.20536726,484.5075398,520.3285402,173.9568167,36.72159104,Export,08-03-2023
295,NORTH,Brown,33.76954107,554.9230797,708.1871106,252.8508141,26.01836677,import,22-10-2023
68,West,Basmati,60.89009982,570.0736285,714.860944,120.9624591,36.46629638,,09-03-2023
480,,basmati,53.592094,450.7553926,689.6086725,258.94742,26.14836967,,24-04-2024
329,West,White,50.75187088,397.0065329,446.0535935,207.2540325,31.80512573,import,25-11-2023
263,south ,Basmati,47.24676776,430.4328622,383.0137909,254.5973086,21.45418222,Export,20-09-2023
108,South,Basmati,43.14389719,451.1803003,449.2883326,271.329649,30.66393908,,18-04-2023
,south ,White,58.99464971,500.988061,414.0474498,157.1216213,26.60923769,EXPORT,10-09-2025
347,West,Jasmine,58.36323723,548.0304653,604.2869571,170.73666,35.60424222,EXPORT,13-12-2023
299,East,,44.1343592,577.9273887,621.8680835,162.1436577,29.86624377,Import,26-10-2023
644,NORTH,White,53.47906116,438.2390818,436.1040393,194.5797604,28.83147494,Import,05-10-2024
308,West,White,71.1785595,397.3780361,330.5287306,170.1791241,34.07882582,,04-11-2023
855,West,basmati,41.05667377,381.5639828,453.52287,197.1529771,23.71676375,,04-05-2025
507,NORTH,,49.0562825,328.2205904,495.1827846,142.6799847,39.99619848,,21-05-2024
297,West,Basmati,38.99220717,419.489076,493.3532122,281.5785869,37.90731862,,24-10-2023
881,south ,Jasmine,59.21247685,,446.6256924,158.2639845,26.75344812,Import,30-05-2025
667,NORTH,Basmati,63.97226423,554.1407569,397.5328163,282.7377179,30.47253827,,28-10-2024
101,south ,Basmati,58.00498242,595.5096379,336.0168333,211.7658981,28.71403478,,11-04-2023
89,NORTH,Brown,60.91046102,523.6581751,292.6377197,243.6814251,20.86907075,Export,30-03-2023
64,North,,136.7901702,423.656866,211.6405166,166.290472,23.19972673,EXPORT,05-03-2023
844,East,,56.11143655,460.6198132,212.0065417,291.6742289,25.72396809,Import,23-04-2025
889,south ,Jasmine,41.11852104,464.9981545,421.51327,192.1818431,33.3631288,EXPORT,07-06-2025
140,West,basmati,62.98738504,548.2524049,439.6345604,238.0160938,33.25637522,,20-05-2023
758,South,Basmati,51.35544592,434.6908339,412.5861006,238.462282,28.42562334,Export,27-01-2025
616,East,Brown,51.21505011,513.2020923,579.1969842,157.5335257,14.39727989,EXPORT,07-09-2024
500,south ,Jasmine,48.59957148,568.1339503,180.1807695,226.0189863,25.22972773,,14-05-2024
666,South,Jasmine,50.73770108,521.7997411,304.6890074,200.4381742,30.75609172,import,27-10-2024
585,,Basmati,61.4740933,290.789277,558.8336535,253.4572132,28.90177492,Export,07-08-2024
110,NORTH,White,47.08510021,433.6279623,651.5349362,242.0159564,27.39780507,Import,20-04-2023
917,NORTH,,40.56149295,659.1019306,639.1163965,329.7155092,29.20674408,Export,05-07-2025
651,North,Basmati,60.17501229,526.8533986,383.1904344,141.8071141,35.8017409,import,12-10-2024
534,South,,64.46503936,396.114021,412.0645694,155.8517301,19.34581001,EXPORT,17-06-2024
446,,Brown,50.62685397,539.5935676,532.02066,292.4175315,29.24423857,Export,21-03-2024
606,NORTH,White,46.21545948,517.6754793,178.6997998,221.7148038,33.24471803,Export,28-08-2024
137,,Basmati,62.14509285,623.5121822,641.6003669,203.9878263,26.13792504,Import,17-05-2023
812,North,,52.14450834,482.2306023,385.2183073,157.9509301,29.86758186,EXPORT,22-03-2025
515,NORTH,Jasmine,73.00410085,583.070985,421.4408021,244.930892,29.22813233,,29-05-2024
754,North,Basmati,62.43852933,554.9315645,605.7421358,227.3827886,30.69996871,Import,23-01-2025
159,south ,White,unknown,325.6151883,408.7316194,252.7429535,27.5013975,,08-06-2023
311,,Brown,56.94997901,501.1141563,388.7772661,246.9789706,22.3647947,Export,07-11-2023
328,West,Brown,57.8007818,397.6804489,408.5875874,169.5031853,33.67000192,import,24-11-2023
